timestamp,open,high,low,close,volume
2024-07-17T00:00:00,65701.66,65738.0,65701.65,65707.21,26.92055
2024-07-17T00:01:00,65706.41,65735.08,65666.01,65735.07,80.8139
2024-07-17T00:02:00,65735.08,65774.18,65735.07,65774.17,6.99818
2024-07-17T00:03:00,65774.17,65794.0,65765.36,65792.11,12.27825
2024-07-17T00:04:00,65792.12,65813.43,65790.0,65804.0,18.10676
2024-07-17T00:05:00,65803.99,65824.0,65803.99,65820.0,6.45957
2024-07-17T00:06:00,65820.01,65820.01,65820.0,65820.01,2.66201
2024-07-17T00:07:00,65820.01,65820.01,65766.0,65788.81,21.75021
2024-07-17T00:08:00,65788.8,65799.27,65768.77,65799.27,18.72818
2024-07-17T00:09:00,65799.27,65855.94,65799.27,65853.88,27.76317
2024-07-17T00:10:00,65853.89,65853.89,65783.58,65797.79,37.54688
2024-07-17T00:11:00,65797.78,65832.56,65797.78,65800.0,9.45657
2024-07-17T00:12:00,65800.0,65830.02,65790.0,65830.02,16.32533
2024-07-17T00:13:00,65830.02,65830.02,65796.0,65822.37,7.72252
2024-07-17T00:14:00,65822.37,65822.37,65802.0,65802.01,6.57112
2024-07-17T00:15:00,65802.0,65825.0,65775.03,65775.04,13.12136
2024-07-17T00:16:00,65775.03,65775.04,65738.0,65747.99,12.78554
2024-07-17T00:17:00,65748.0,65754.0,65726.24,65726.24,5.9542
2024-07-17T00:18:00,65726.24,65736.59,65723.03,65724.97,5.40647
2024-07-17T00:19:00,65724.96,65758.16,65720.0,65758.15,15.05624
2024-07-17T00:20:00,65758.15,65850.96,65758.15,65790.0,15.13329
2024-07-17T00:21:00,65790.01,65809.39,65760.01,65760.01,7.51576
2024-07-17T00:22:00,65760.01,65773.31,65750.0,65750.01,5.24152
2024-07-17T00:23:00,65750.01,65775.0,65749.53,65755.93,10.99614
2024-07-17T00:24:00,65755.92,65818.0,65755.92,65814.0,17.17128
2024-07-17T00:25:00,65813.99,65820.0,65811.26,65811.26,14.47539
2024-07-17T00:26:00,65811.27,65811.27,65773.01,65773.02,6.60436
2024-07-17T00:27:00,65773.02,65773.02,65744.0,65744.0,14.06961
2024-07-17T00:28:00,65744.01,65755.9,65714.34,65714.34,33.66355
2024-07-17T00:29:00,65714.35,65714.35,65670.5,65674.1,13.53598
2024-07-17T00:30:00,65674.09,65701.82,65620.07,65641.99,18.07669
2024-07-17T00:31:00,65641.99,65665.96,65626.0,65626.01,8.93942
2024-07-17T00:32:00,65626.0,65633.88,65621.0,65621.01,6.62844
2024-07-17T00:33:00,65621.01,65623.81,65552.0,65552.01,15.31629
2024-07-17T00:34:00,65552.01,65572.02,65550.0,65552.0,9.14947
2024-07-17T00:35:00,65552.01,65615.9,65546.32,65590.02,19.16028
2024-07-17T00:36:00,65590.02,65629.55,65582.11,65606.01,15.95427
2024-07-17T00:37:00,65606.0,65645.86,65606.0,65645.86,3.96891
2024-07-17T00:38:00,65645.85,65710.7,65645.85,65703.35,7.80825
2024-07-17T00:39:00,65703.34,65741.27,65703.34,65741.27,21.22986
2024-07-17T00:40:00,65741.27,65800.0,65729.62,65784.01,42.64546
2024-07-17T00:41:00,65784.01,65800.0,65777.81,65790.0,17.46416
2024-07-17T00:42:00,65789.99,65820.0,65762.46,65819.99,21.03336
2024-07-17T00:43:00,65819.99,65825.0,65772.94,65772.95,9.55725
2024-07-17T00:44:00,65772.94,65792.0,65762.5,65774.16,20.36278
2024-07-17T00:45:00,65774.16,65799.99,65771.06,65776.88,12.42314
2024-07-17T00:46:00,65776.89,65800.0,65768.9,65771.53,8.75105
2024-07-17T00:47:00,65771.53,65778.0,65725.37,65736.36,11.85716
2024-07-17T00:48:00,65736.36,65771.52,65735.0,65737.63,6.75063
2024-07-17T00:49:00,65737.63,65787.98,65737.62,65744.52,10.68751
2024-07-17T00:50:00,65744.51,65787.98,65744.51,65762.44,7.63603
2024-07-17T00:51:00,65762.43,65815.97,65742.76,65814.01,14.39008
2024-07-17T00:52:00,65814.01,65830.0,65804.0,65830.0,20.46963
2024-07-17T00:53:00,65830.0,65830.0,65810.36,65810.37,6.29522
2024-07-17T00:54:00,65810.37,65816.01,65787.98,65787.99,5.37383
